"DateTime","Additions","Deletions"
"2015-01-18",281,0
"2015-01-25",1182,-139
"2015-02-01",3407,-490
"2015-02-08",6243,-3483
"2015-02-15",2541,-310
"2015-02-22",1328,-467
"2015-03-01",1335,-447
"2015-03-08",1839,-228
"2015-03-15",900,-236
"2015-03-22",1490,-250
"2015-03-29",154,-17
"2015-04-05",3,-3
"2015-04-12",1416,-583
"2015-04-19",66,-30
"2015-04-26",98,-40
"2015-05-03",30,-10
"2015-05-10",5666,-5583
"2015-05-17",77,-53
"2015-05-24",0,0
"2015-05-31",604,-186
"2015-06-07",61,-28
"2015-06-14",162,-35
"2015-06-21",7,0
"2015-06-28",161,-28
"2015-07-05",244,-153
"2015-07-12",5,-27
"2015-07-19",189,-102
"2015-07-26",8,-23
"2015-08-02",2715,-75
"2015-08-09",1132,-197
"2015-08-16",1014,-284
"2015-08-23",1061,-290
"2015-08-30",887,-64
"2015-09-06",779,-433
"2015-09-13",69,-5
"2015-09-20",518,-85
"2015-09-27",245,-142
"2015-10-04",16,-16
"2015-10-11",19,-12
"2015-10-18",8,-5
"2015-10-25",293,-17
"2015-11-01",53,-5
"2015-11-08",21,-51
"2015-11-15",98511,-91748
"2015-11-22",695,-1484
"2015-11-29",73,-8
"2015-12-06",12,-10
"2015-12-13",585,-170
"2015-12-20",52,-19
"2015-12-27",452,-70
"2016-01-03",516,-120
"2016-01-10",31,-31
"2016-01-17",94,-380
"2016-01-24",179,-172
"2016-01-31",207,-94
"2016-02-07",119,-22
"2016-02-14",1627,-70
"2016-02-21",13,-26
"2016-02-28",718,-160
"2016-03-06",1385,-336
"2016-03-13",216,-227
"2016-03-20",215,-77
"2016-03-27",400,-110
"2016-04-03",520,-332
"2016-04-10",648,-786
"2016-04-17",1048,-887
"2016-04-24",1255,-441
"2016-05-01",3691,-3250
"2016-05-08",80,-22
"2016-05-15",397,-151
"2016-05-22",101,-40
"2016-05-29",1957,-1242
"2016-06-05",1488,-1015
"2016-06-12",560,-449
"2016-06-19",376,-371
"2016-06-26",2808,-2591
"2016-07-03",604,-101
"2016-07-10",98,-88
"2016-07-17",133,-91
"2016-07-24",114,-43
"2016-07-31",69,-44
"2016-08-07",0,0
"2016-08-14",35,-23
"2016-08-21",176,-54
"2016-08-28",219,-5
"2016-09-04",0,0
"2016-09-11",34,-8
"2016-09-18",167,-87
"2016-09-25",154,-29
"2016-10-02",284,-33
"2016-10-09",67,-6
"2016-10-16",35,-35
"2016-10-23",0,0
"2016-10-30",0,0
"2016-11-06",185,-301
"2016-11-13",88,-58
"2016-11-20",0,0
"2016-11-27",300,-162
"2016-12-04",4573,-161
"2016-12-11",1899,-379
"2016-12-18",62,-59
"2016-12-25",145,-48
"2017-01-01",81,-76
